origin,test_rows,actual_total,ml_abs_error,naive_abs_error,ml_bias_error,naive_bias_error,ml_wape,naive_wape,ml_bias,naive_bias
2024-01-01,388,178486,8163.358820977501,10290.0,162.27961456601713,-468.0,4.573668982988862,5.765158051611891,0.09092008032339631,-0.26220543908205685
2024-02-26,397,182844,8723.673800346016,12561.0,-1314.9307690231453,-1277.0,4.771102032522815,6.869790641202337,-0.7191544535358805,-0.6984095731880728
2024-04-22,413,180385,7751.578533723145,10894.0,63.556340870326096,-350.0,4.297241197285332,6.039304820245586,0.03523371725494143,-0.19402943703744768
2024-06-17,421,187503,8436.747240955245,11933.0,-1090.09157347405,1313.0,4.499526536084886,6.364164840029226,-0.5813728705535645,0.7002554625792654
2024-08-12,467,213845,9505.045381305916,14797.0,-1094.3252363165097,-5105.0,4.4448293770281815,6.919497767074283,-0.5117375839119501,-2.3872430966354137
2024-10-07,493,254412,11117.806800797658,17203.0,946.1052942783053,-793.0,4.370000943665259,6.761866578620506,0.37187919370088884,-0.3116991336886625
2024-12-02,507,247881,11233.121690908187,17015.0,981.9370645300473,-687.0,4.531659018201551,6.864180796430546,0.3961324444108453,-0.2771491159064228
2025-01-27,525,244914,10923.617226635397,14835.0,135.7870162983815,-609.0,4.460184892099021,6.057228251549524,0.05544273348946223,-0.24865871285430804
2025-03-24,539,239681,10920.91678954659,15289.0,724.5313220408524,781.0,4.556438261500324,6.378895281645186,0.30228984443525037,0.3258497753263713
2025-05-19,560,247286,10873.663564598657,15007.0,-385.12794483538744,937.0,4.39720144472338,6.068681607531361,-0.15574191213226282,0.3789134847908899
2025-07-14,572,264367,12033.9260714398,16196.0,-1030.416603011203,952.0,4.551977391822656,6.126331955198645,-0.3897674834647301,0.36010545945598355
2025-09-08,585,295012,11791.442703450863,15794.0,-885.7374421265447,540.0,3.996936634255848,5.353680528249698,-0.30023776732015806,0.1830434016243407
2025-11-03,608,283003,12902.435174232465,17722.0,311.5298109180844,-672.0,4.559116042668263,6.262124429776363,0.11008003834520638,-0.237453313215761
